id,match_probability_00,match_probability_01,match_probability_02,match_probability_03,match_probability_04,match_probability_05,match_probability_06,match_probability_07,match_probability_08,match_probability_09,match_probability_10,match_probability_11,match_probability_12,match_probability_13,match_probability_14,match_probability_15
0008637376694d36789536f2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
00107fe9f29362314f18688a,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0010a9e0f8e5ec4a1aa88efa,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
001799d8f370cc072f357b6e,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
0018239ffadcf4a0d55b9d39,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
001d7c64901e4acbe91e46d5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
0023d3ed501ffee7b679f75b,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
00287ce24633110cadda2f13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
002a822ce5b348ff3418d6f9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
003aa77612bd3d6452cea523,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
004168f7e0d3d1c5ffe6064d,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0054aca6f7559e550e514fc4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0055ad945e74d59c0e9853a4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
005756eb581640a0e5bdaa87,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
005fe8d89d8c3df12268838c,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
006201a0154710f6189578e4,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
00627a79c6c8e78b8e4c625b,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
00785d9d82bffa9be02ecda8,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
008082d8339dc469a29ec316,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
008315906cadc9148c23a886,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0087a550f44fe701b6bd261f,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
0088e340f72a73c816ea6de4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0092f6338a996148b560d120,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
00956f7991cded0d13c4e038,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
009b7451e42d65af7ed94a99,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
009bc0f10085c791ddb4979f,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
00a535b2c9efae44add87430,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
00a5cda3f16dc61db641ff98,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
